unique_carrier,avg_occupancy,avg_passengers,avg_seats
02Q,0.603710914777014,84.9805194805195,140.077922077922
04Q,0.431310672637076,3.47601634203301,8.07131079967024
07Q,0.465200313263895,79.4565648433455,172.847826086957
09Q,0.320044452252778,49.5796902582151,156.864985524267
0BQ,0.228855877189451,3.49450549450549,15.3571428571429
0CQ,0.157544482846902,2.48790322580645,16.2661290322581
0J,0.187234680693983,2.53488372093023,14.1976744186047
0JQ,0.477693968033674,56.4541060615131,139.981481481481
0Q,0.218325334086204,3.01581027667984,14.0316205533597
0QQ,0.296414085275859,14.2869198312236,40.746835443038
0RQ,0.24804196699358,2.88306451612903,11.9818548387097
0UQ,0.294894697985273,4.51744186046512,16.6279069767442
0WQ,0.266164725947445,2.67647405751613,10.1397983031541
10Q,0.192837465564738,2.10606060606061,10.9166666666667
12Q,0.171319102353585,2.31034482758621,13.5944170771757
13Q,0.455351652614455,4.21598818335281,9.20806713413842
14Q,0.370419471488551,2.72696882151817,7.32779331486489
15Q,0.201542740771627,2.63892288861689,13.2894736842105
17Q,0.284721272879168,3.46052631578947,12.3157894736842
1AQ,0.554289363691656,19.7092660560489,36.0491320976758
1BQ,0.335368447600559,82.3870621130397,248.921620598933
1DQ,0.338819143985444,3.0573490297186,9.01935483870968
1EQ,0.705779749233991,53.045990591839,77.2752981074281
1HQ,0.264620588368984,3.55487804878049,13.2317073170732
1LQ,0.188,1.88,10
1PQ,0.378456786177273,3.40611107559545,9
1QQ,0.72466222275985,6.52206208667667,9.00005746774144
1SQ,0.36335656972675,2.71104664066488,7.15451261060366
1UQ,0.447582559037022,9.66755005889282,22.5530035335689
1WQ,0.606902815463648,18.2380220965771,30.061247378714
1XQ,0.226572430418584,3.31623931623932,14.5384615384615
1YQ,0.489740755266355,4.6257757430522,9.32377873184054
1ZQ,0.347710931044264,27.2136752136752,76.8888888888889
20Q,0.314655793849742,54.9479635278742,168.482142857143
22Q,0.236122359502082,1.56217853236387,6.72084148727984
23Q,0.6322139837119,94.4608936718144,149.784100909358
24Q,0.289453437840535,3.93548387096774,13.7849462365591
25Q,0.35832995951417,6.12,16.36
26Q,0.320996860282575,4.2,12.9142857142857
27Q,0.29060013724096,3.07718678201427,10.8917482143861
28Q,0.581597151119357,5.19547736153486,8.90194438214846
29Q,0.227493903107938,2.04744512797144,9
2AQ,0.28979046010296,4.11824324324324,14.4459459459459
2E,0.345717125412925,1.72867427954689,5.00016622340426
2EQ,0.378405802016913,3.41352258852259,9.01875
2HQ,0.522500581807981,28.7919856439784,55.7106382978723
2JQ,0.547857881197787,17.3455927132636,31.9152417107442
2KQ,0.501524039567518,9.86413043478261,20.1195652173913
2LQ,0.310639739341535,2.61949551208015,8.62320916905444
2O,0.309469378256432,1.72812900552075,5.6466219779843
2OQ,0.567950749188719,5.11155674269848,9
2P,0.353418803418803,55.1333333333333,156
2RQ,0.197671376242805,2.75,14.1517857142857
2TQ,0.447477677075478,4.13132299358634,9.17226239669422
2UQ,0.342132060217167,4.26241134751773,12.241134751773
30Q,0.260275805724589,1.6327614379085,6.22794117647059
34Q,0.282407407407407,4.44444444444444,15.7037037037037
36Q,0.306335049409062,12.438846317582,23.9643039591315
37Q,0.268809656724055,12.4302325581395,51.5116279069767
38Q,0.594042273406989,17.0679496272513,28.4712109293056
3AQ,0.188341565808959,1.11471377408167,6.13265761684919
3BQ,0.544296183386915,5.73351424581676,10.8446601941748
3DQ,0.364734755131461,3.28261279618315,9
3E,0.602429969926134,4.96185544825435,8.40028779488212
3EQ,0.443323512265226,4.36908921500116,9.6316095970184
3F,0.252070284624333,1.40112117925754,5.65900780380681
3M,0.565799858334343,18.883899606603,33.6326756380829
3SD,0.460670224693265,9.19598166816714,19.4980368541247
3U,0.788543482318712,225.715286249434,285.032795387161
4B,0.619316086663146,4.96160913912797,8.01315789473684
4C,0.807320508152936,154.864796871742,191.173320765446
4M,0.835279438493927,180.487912629555,216.177954560223
4O,0.718110742517541,103.959477122586,144.226781397807
4W,0.268035858369004,2.41014078146413,8.98704258827723
4Y,0.264445277854491,1.34721522007575,5.11834030232626
5D,0.687281665897546,62.7271283190209,91.0009039209679
5J,0.540742990060567,97.0076000633354,179.632653061224
5V,0.247347399519283,2.0255787587814,7.90624443174178
5Y,0.147152047265092,35.0819189278122,248.884878150653
7C,0.79672591062387,150.224718104936,188.560322214695
7H,0.513095300197749,15.5214566574613,30.2592943880733
7I,0.643735272786818,96.3117909341649,149.632
7S,0.11319212361805,0.609332371747502,4.7039391933366
8C,0.0135658914728682,0.569767441860465,10.3255813953488
8D,0.314756613314835,2.26152094859527,7.0316882192596
8E,0.353219993387206,3.36005915590822,8.86331137956539
8I,0.570317701107574,86.6882905683512,152
8R,0.660700325584215,205.68570154923,311.880276739332
8V,0.374311771619262,2.83674562881774,7.36272515408406
9E,0.775221916022213,52.3969803288971,67.7259399203003
9K,0.518296076897752,5.86414313107172,10.799202062483
9V,0.76155996184027,135.076879455882,180.438511043155
9W,0.794437472293275,227.640422073909,286.497912848491
9X,0.355971225378681,3.00963477139481,8.45664739884393
A0,0.80456178638522,106.23139173219,133.507903410337
AA,0.806751239742602,134.551289117768,166.994117701785
AAB,0.166666666666667,2,12
AAT,0.315934411937064,2.83328800584221,9.00405429226159
AB,0.798205233996284,229.316906730624,287.289327720102
ABX,0,0,19.0869565217391
AC,0.78638018104834,109.039856605967,139.482430193003
AD,0.865939907679198,218.769595862484,252.171288368939
AF,0.845852259891121,271.600632624458,318.055304483609
AI,0.780437952763899,245.330373538778,315.951327044947
AJQ,0.471993320900507,23.5993015696808,49.9984114376489
AM,0.777286867562771,122.799176082411,158.379415240553
AMQ,0.387451013668029,27.482661004954,73.7806086341118
AN,0.437930743263845,3.86552183394382,8.76481715006305
AR,0.77310544702012,213.404997819213,276.112305339126
AS,0.778740929530318,123.613652525741,157.920599169638
AT,0.669957332308232,187.529469841295,281.036390095367
AV,0.805511636402354,123.32415129553,152.887991752483
AX,0.808713729541642,40.4356864770818,50
AY,0.819989046197541,230.782160238074,281.450030048619
AZ,0.824770416312874,222.682282632551,269.835636471447
B0,0.747981934606246,55.2785489826384,73.8504335637223
B6,0.808565610282072,113.814965277738,140.805906057645
BA,0.809003891063412,223.117860949432,274.075723692508
BC,0.662082404564635,117.18858560794,177
BCQ,0.53640584089961,82.253738317757,152.280373831776
BF,0.791833913838932,325.443738587801,411
BR,0.814731112841405,267.225239096625,327.479476605272
BW,0.722155150522741,111.425801208412,154.204111600587
BX,0.783916532772377,143.97292799966,183.385768685289
BY,0.859375255224616,266.913375471471,311.254787662002
C5,0.785303239510648,36.5518115907881,46.5618330194601
CA,0.763829150359011,235.366643113463,306.086108825641
CAQ,0.178571428571429,2.14285714285714,12
CAZ,0.213077611891841,2.63659320477502,12.589072543618
CH,0,0,0.394349632473621
CI,0.796073453747063,246.526053826288,307.678255246079
CM,0.797875214391668,112.273746048216,141.870846404225
CP,0.815555103541851,60.7131231617124,74.536158046401
CRV,0.354687949381651,6.73907103825137,19
CX,0.808881239775284,236.350108846083,292.63582277577
CZ,0.865497150547075,290.416105245711,333.802472049937
D7,0.772739193606015,291.322675989468,377
D8,0.672095382057947,129.842894148586,192.136253650396
DE,0.844042932683946,213.879601097464,253.455419161756
DI,0.834569316447391,284.136731988877,340.975369458128
DL,0.782066323768991,126.668701279386,159.566737343555
