seats,passengers,payload,airline_id,origin_airport_id,dest_airport_id
6,2,1000,21029,14828,14062
3,1,500,21029,14828,14270
6,0,1850,20383,10961,12252
12,1,3700,20383,10961,12253
42,1,12950,20383,10961,12815
10,1,2958,20383,10961,12815
42,2,12950,20383,10961,15741
20,1,5916,20383,10961,15741
12,0,3700,20383,11367,12252
6,1,1850,20383,11367,12253
6,1,1850,20383,11367,15741
6,2,1850,20383,11484,12815
12,2,3700,20383,11484,13693
20,4,5916,20383,11484,13693
6,0,1850,20383,11484,14229
18,2,5550,20383,11484,15741
10,1,2958,20383,11484,15741
6,0,1850,20383,12252,10961
12,0,3700,20383,12252,11367
24,2,7400,20383,12252,15741
20,1,5916,20383,15741,12253
42,0,12950,20383,15741,12633
10,0,2958,20383,15741,12633
12,3,3700,20383,15741,12773
66,4,20350,20383,15741,12815
20,2,5916,20383,15741,12815
252,55,77700,20383,15741,13504
20,7,5916,20383,15741,13504
6,0,1850,20383,15741,13504
18,0,5550,20383,15741,13693
18,4,5550,20383,15741,14229
30,1,9250,20383,15741,15754
6,0,1850,20383,15741,15885
30,2,9250,20383,15754,15741
6,2,1850,20383,15841,15741
6,0,1850,20383,15885,11484
10,1,2958,20383,15885,11484
12,0,3700,20383,15885,13693
30,0,9250,20383,15885,15741
9,0,2446,20272,10559,11588
0,0,480900,20370,10299,13487
0,0,2404500,20370,10299,13692
0,0,3847200,20370,10299,13930
0,0,648000,20370,10397,11193
0,0,1923600,20370,10397,13930
0,0,1923600,20370,11193,10299
0,0,486000,20370,11193,10397
0,0,3564000,20370,11193,11298
0,0,2430000,20370,11193,11433
0,0,486000,20370,11193,11540
0,0,3564000,20370,11193,11995
0,0,3726000,20370,11193,12266
0,0,162000,20370,11193,12478
0,0,162000,20370,11193,12892
0,0,2592000,20370,11193,13303
0,0,810000,20370,11193,13487
0,0,486000,20370,11193,13930
0,0,648000,20370,11193,14747
0,0,2592000,20370,11193,14771
0,0,486000,20370,11193,14869
0,0,3240000,20370,11298,11193
0,0,3240000,20370,11298,14683
0,0,2916000,20370,11433,11193
0,0,2916000,20370,13061,12266
0,0,1442700,20370,13204,12892
0,0,1923600,20370,13303,10299
0,0,486000,20370,13303,11193
0,0,6251700,20370,13303,11193
0,0,1442700,20370,13303,12266
0,0,2106000,20370,13303,12478
0,0,480900,20370,13303,13930
0,0,480900,20370,13303,14747
0,0,486000,20370,13487,11193
0,0,2916000,20370,13487,11433
0,0,480900,20370,13487,14512
0,0,2404500,20370,13692,10299
0,0,961800,20370,13930,10299
0,0,4328100,20370,13930,10397
0,0,648000,20370,13930,11193
0,0,1923600,20370,13930,12478
0,0,2885400,20370,13930,13303
0,0,480900,20370,13930,16218
0,0,480900,20370,14512,13930
0,0,2592000,20370,14524,11995
0,0,162000,20370,14683,11193
0,0,2754000,20370,14683,11298
0,0,16831500,20370,12143,10299
0,0,1923600,20370,12266,12395
0,0,480900,20370,12395,12478
0,0,961800,20370,12395,13303
0,0,1923600,20370,12478,12395
0,0,1442700,20370,12478,16171
0,0,10098900,20370,12938,11193
0,0,2404500,20370,13218,13303
0,0,3366300,20370,13303,10711
0,0,2404500,20370,13303,13218
0,0,3366300,20370,13303,14717
0,0,1442700,20370,13658,10299
0,0,1923600,20370,13930,12395
0,0,480900,20370,13930,16171
0,0,480900,20370,14309,10299
0,0,3366300,20370,14717,13303
0,0,1923600,20370,14918,10397
0,0,1923600,20370,14918,12478
0,0,4328100,20370,14918,13930
0,0,2404500,20370,16171,10299
0,0,816000,21629,10299,11298
0,0,989096,21629,10299,12143
0,0,204000,21629,10299,12277
0,0,4896000,21629,14730,11042
0,0,7344000,21629,14730,11298
0,0,204000,21629,14730,11375
0,0,4080000,21629,14730,11433
0,0,408000,21629,14730,13303
0,0,204000,21629,14730,13304
0,0,4080000,21629,14730,13930
0,0,204000,21629,14730,14730
0,0,204000,21629,14730,14814
0,0,204000,21629,14814,14635
0,0,408000,21629,14814,14730
0,0,204000,21629,15422,13744
0,0,2720014,21629,15455,13303
0,0,70000,21634,13830,12402
0,0,70000,21634,13830,12758
0,0,50000,20372,10194,16091
0,0,45000,20372,10397,11193
0,0,900000,20372,10529,14576
0,0,90000,20372,10693,11193
0,0,180000,20372,11003,11193
0,0,270000,20372,11003,13198
0,0,45000,20372,11193,10397
0,0,45000,20372,11193,10693
0,0,270000,20372,11193,11003
0,0,945000,20372,11193,14576
0,0,90000,20372,11193,15370
0,0,115294,20372,11259,13891
0,0,45000,20372,11433,11193
0,0,50000,20372,11495,12954
0,0,150000,20372,11540,12878
0,0,34195,20372,11540,12878
0,0,50000,20372,11540,13796
0,0,57647,20372,11697,13495
0,0,50000,20372,11980,14869
0,0,50000,20372,12278,10559
0,0,855000,20372,12892,14107
0,0,180000,20372,12892,14570
0,0,57647,20372,12945,13809
0,0,57647,20372,12945,14027
0,0,50000,20372,12954,11495
0,0,45000,20372,13061,15153
0,0,50000,20372,13061,15153
0,0,1582518,20372,13061,15153
0,0,61126,20372,13061,16091
0,0,180000,20372,13198,11003
0,0,45000,20372,13198,11193
0,0,45000,20372,16091,11193
0,0,45000,20372,16091,13061
0,0,51911,20372,16091,14288
0,0,50000,20372,16091,14814
0,0,45000,20372,10638,13061
0,0,61126,20372,10638,13061
0,0,45000,20372,10911,13303
0,0,45000,20372,13061,14886
0,0,45000,20372,13169,13303
0,0,45000,20372,13303,10911
0,0,810000,20372,13303,14012
0,0,765000,20372,14012,13303
0,0,1521392,20372,16477,13061
0,0,51911,20372,16477,14814
0,0,45000,20372,16477,16091
0,0,50000,20372,14814,14022
0,0,45000,20372,16091,14022
0,0,45000,20372,16252,13061
990,728,206140,20225,10245,10299
45,23,9370,20225,10245,10917
30,26,6350,20225,10245,10917
360,271,74960,20225,10245,11336
45,45,9370,20225,10245,11445
168,123,38100,20225,11336,14919
4365,1039,908890,20225,11445,10299
30,0,6350,20225,11445,10299
495,166,103070,20225,14738,10299
30,4,6350,20225,14738,10299
405,228,84330,20225,14738,10917
392,247,88900,20225,14919,10299
0,0,94000,20169,10033,10299
0,0,1034000,20169,10033,14709
0,0,329000,20169,10225,14709
0,0,94000,20169,10245,10299
0,0,47000,20169,10299,10033
0,0,94000,20169,10299,10245
0,0,47000,20169,10299,13196
0,0,94000,20169,10299,14485
0,0,47000,20169,10754,10225
0,0,47000,20169,10754,14709
0,0,47000,20169,11487,10299
0,0,47000,20169,11487,15090
0,0,47000,20169,13196,10299
0,0,47000,20169,14485,10299
0,0,1081000,20169,14709,10033
1560,1055,515736,21635,10821,13203
8,0,2300,21635,10821,14050
18,10,7200,21635,10849,12574
900,600,297540,21635,10930,13796
16,5,12343,21635,11035,12197
1380,299,456228,21635,11057,10654
30,0,9918,21635,11057,13461
30,0,9918,21635,11057,13931
120,7,39672,21635,11057,14131
120,28,39672,21635,11057,15304
8,6,12400,21635,11032,10693
8,5,2300,21635,11032,10693
8,2,12400,21635,11032,11697
8,4,2300,21635,11252,13514
30,28,9918,21635,11267,12264
30,0,9918,21635,11267,13418
12,9,4353,21635,11453,15622
12,0,4353,21635,11453,13871
240,90,79344,21635,11479,13418
13,1,3770,21635,12173,15167
16,10,12343,21635,12197,11697
16,12,12343,21635,12197,13289
128,70,98744,21635,12197,13898
16,0,12343,21635,12197,15167
30,23,9918,21635,12223,10819
30,28,9918,21635,12264,11267
16,10,12343,21635,12264,14100
30,0,9918,21635,12297,13203
30,0,9918,21635,12297,13461
30,6,9918,21635,12339,13461
16,11,12343,21635,12388,10693
12,0,4353,21635,12388,14050
30,30,9918,21635,12451,13139
32,32,24686,21635,12451,14050
12,6,4353,21635,12478,14549
12,0,4353,21635,12576,13461
12,6,4353,21635,12651,14633
420,113,138852,21635,12889,14081
8,4,2300,21635,13289,11697
16,13,12343,21635,13289,12197
16,0,12343,21635,13289,14027
8,4,2300,21635,13289,15497
13,2,3770,21635,13303,10581
30,0,9918,21635,13418,11267
240,90,79344,21635,13418,11479
8,0,2300,21635,13461,10599
34,0,7846,21635,13461,10693
9,0,3100,21635,13461,10693
16,0,12343,21635,13461,10693
16,0,4600,21635,13461,10693
30,0,9918,21635,13461,10819
30,0,9918,21635,13461,11057
12,0,4353,21635,13461,11453
16,5,4600,21635,13461,11481
12,2,4353,21635,13461,11503
60,0,19836,21635,13461,11540
12,0,4353,21635,13461,15622
8,7,2300,21635,13514,10821
8,4,2300,21635,13605,10519
16,2,4600,21635,13605,10693
8,6,2300,21635,13605,11697
32,31,24686,21635,13605,12451
8,8,2300,21635,13605,13105
9,8,2510,21635,13605,13898
900,549,297540,21635,13796,10930
30,13,9918,21635,13796,13264
930,533,307458,21635,13796,14689
13,10,3770,21635,13830,15167
12,7,4353,21635,13871,10693
12,0,4353,21635,13871,13461
96,79,74058,21635,13898,12197
16,0,12343,21635,13898,13289
8,0,2300,21635,13898,13605
13,1,3770,21635,13898,14027
16,0,12343,21635,13898,14050
16,16,12343,21635,13898,15070
1170,335,386802,21635,14107,14081
30,4,9918,21635,14107,14107
1470,235,485982,21635,14131,10654
30,0,9918,21635,14131,11057
16,15,12343,21635,14193,12264
12,0,4353,21635,14633,12574
8,2,12400,21635,14635,12574
660,482,218196,21635,14689,12889
930,561,307458,21635,14689,13796
30,0,9918,21635,14689,14081
13,0,3770,21635,14843,15084
8,5,12400,21635,14869,13277
30,0,9918,21635,15016,14107
9,4,3600,21635,15030,12574
16,2,12343,21635,15070,13461
13,11,3770,21635,15084,12892
30,6,9918,21635,15138,12339
13,0,3770,21635,15167,10444
13,8,3770,21635,15167,11697
30,5,9918,21635,15374,13461
13,0,3770,21635,15376,13303
8,2,2300,21635,15447,11252
8,6,2300,21635,12544,10599
12,8,4353,21635,12544,14050
8,3,2300,21635,15497,10693
13,0,3770,21635,15618,12892
0,0,242000,20405,10299,12892
0,0,484000,20405,10299,13930
199,174,95000,20405,10540,13204
199,0,95000,20405,10540,15842
0,0,242000,20405,11292,14955
0,0,242000,20405,11298,12173
0,0,726000,20405,12173,14955
0,0,484000,20405,12173,14955
199,193,95000,20405,12451,11049
199,155,95000,20405,12892,12917
0,0,242000,20405,12892,13930
199,0,95000,20405,12917,11982
0,0,242000,20405,14955,16456
0,0,242000,20405,14955,12143
0,0,242000,20405,15045,14717
1344,960,271731,21578,12266,13252
2697,1771,545279,21578,12266,13514
4950,3838,1000791,21578,12478,11032
16950,13306,3426951,21578,12478,13252
5100,3695,1031118,21578,12889,11874
5400,4085,1091772,21578,12889,13252
384,310,77638,21578,12889,13252
2700,1961,545886,21578,12889,13514
4650,3056,946152,21578,12892,10638
4650,3011,940137,21578,12892,11032
9000,7411,1852352,21578,12892,11874
9150,7848,1895509,21578,12892,13252
2550,997,515559,21578,12892,14312
2100,896,424578,21578,12892,14832
3150,2376,636867,21578,13204,13252
1728,1500,349367,21578,13204,13252
7950,5978,1607331,21578,13252,11298
768,686,155274,21578,13252,11298
6900,5920,1395601,21578,13252,12266
1344,1265,271731,21578,13252,12266
17100,13617,3530921,21578,13252,12478
2550,1801,515559,21578,14312,12892
1650,1460,333597,21578,14683,11874
7350,5517,1486023,21578,14683,13252
960,778,194093,21578,14683,13252
150,86,30327,21578,14683,13514
2418,1561,488871,21578,14683,13514
2250,1526,454905,21578,14771,11032
5400,3663,1091772,21578,14771,11874
2100,1179,424578,21578,14832,12892
624,488,124800,20368,14122,11032
624,543,124800,20368,14122,14293
186,186,37200,20368,14293,11193
468,388,93600,20368,14293,14122
156,96,31200,20368,14574,11973
186,144,37200,20368,14831,11996
156,84,31200,20368,14869,12889
312,76,62400,20368,15096,13303
156,156,31200,20368,15370,14771
76,0,22750,20500,10257,11042
76,64,22750,20500,10423,11193
228,111,68250,20500,10469,11433
70,0,18800,20500,10792,12884
70,1,18800,20500,11042,11433
76,0,22750,20500,11042,11433
76,66,22750,20500,11042,14492
420,257,112800,20500,11057,11433
980,443,263200,20500,12278,11292
228,146,68250,20500,13184,11433
70,0,18800,20500,13230,12264
76,0,22750,20500,13487,13871
70,68,18800,20500,13930,13342
70,60,18800,20500,14057,14252
70,60,18800,20500,14057,14489
76,52,22750,20500,14492,10423
76,69,22750,20500,14492,11042
228,146,68250,20500,14492,11618
152,81,45500,20500,14492,15304
70,6,18800,20500,14783,11292
152,63,45500,20500,15304,14492
152,126,45500,20500,16271,11433
0,0,13500,20166,10298,13139
0,0,171000,20166,10559,14275
0,0,57000,20166,10559,16091
0,0,57000,20166,11042,14275
0,0,55000,20166,11057,13061
0,0,13500,20166,11067,14275
0,0,27000,20166,11109,13796
0,0,13500,20166,11267,14275
0,0,13500,20166,13061,11540
0,0,110000,20166,13061,11540
0,0,57000,20166,13061,11871
0,0,57000,20166,13061,11996
0,0,13500,20166,13061,15153
0,0,395000,20166,13061,15153
0,0,57000,20166,13061,16091
0,0,13500,20166,13139,14275
0,0,171000,20166,13198,10559
0,0,243000,20166,13244,13487
0,0,13500,20166,13277,12598
0,0,13500,20166,13487,13487
0,0,229500,20166,13487,15381
0,0,57000,20166,13796,12339
0,0,13500,20166,13796,16218
0,0,13500,20166,14258,14275
0,0,13500,20166,14275,10298
0,0,13500,20166,14275,11109
0,0,13500,20166,14275,11527
0,0,13500,20166,14275,11778
0,0,114000,20166,14275,11995
0,0,13500,20166,14275,12119
0,0,55000,20166,16091,16078
0,0,13500,20166,16218,11067
0,0,55000,20166,16252,13061
0,0,169000,20166,10638,13061
0,0,558800,20166,10732,14739
0,0,254000,20166,11032,13303
0,0,292100,20166,11187,11540
0,0,292100,20166,11540,11187
0,0,165100,20166,11868,13303
0,0,57000,20166,12217,16477
0,0,55000,20166,13061,10638
